id_vial,trayecto,pk,lat,lon
CV-144,CV-144,0,40.025983373138516,-0.002043023524841719
CV-14,CV-14,1,40.60930191114051,-0.104306462964028
V-31,V-31,9,39.405200387560484,-0.3839663474870192
V-21,V-21,0,39.6304690572866,-0.30190626494331757
CV-315,CV-315,16,39.631963214151455,-0.41652679076342175
V-30,V-30,8,39.460732092024536,-0.4173483357044217
AP-7,E-15,373,40.354329483978674,0.3115816784314952
CV-35,CV-35,40,39.695217810475235,-0.7212432627571488
CV-315,CV-315,8,39.567477383534644,-0.3983670052910207
CV-149,CV-149,6,40.02874601281944,0.020268345066069265
CV-309,CV-309,9,39.681633023494996,-0.2302705562836762
CV-365,CV-365,2,39.511144732531854,-0.445084565598351
CV-14,CV-14,10,40.6524018047545,-0.1869680357466225
A-3,A-3,342,39.47280137231359,-0.5275578994147917
CV-321,CV-321,0,39.73331774691012,-0.241639789719006
CV-350,CV-350,4,39.91767017522167,-0.9809791922904127
CV-36,CV-36,0,39.45316280457964,-0.4085478415139001
CV-35,CV-35,23,39.61969913296685,-0.5717300048164091
CV-316,CV-316,0,39.55010884088402,-0.3374054159326745
CV-345,CV-345,48,39.87839189616354,-1.0276157129851624
N-III,N-III,274,39.494496082127704,-1.1157149648369016
CV-25,DIPUTACION,5,39.67444810826044,-0.5586896400877576
CV-164,CV-164,0,40.346088961445915,-0.0037593828020165854
CV-25,DIPUTACION,19,39.7630233834634,-0.5204708024200776
CV-310,CV-310,2,39.54130912752736,-0.42336129767790237
CV-35,CV-35,13,39.558221268265385,-0.49314670244800607
A-3,A-3,350,39.47526333557426,-0.4393707096364214
CV-35,CV-35,17,39.5806214208755,-0.5293697081885892
A-23,A-23,28,39.831658751867586,-0.4750379389438251
AP-7,E-15,400,40.16548117198563,0.15864869437675225
CV-33,CV-33,7,39.42923508445858,-0.44750032708186366
V-30,V-30,5,39.43883213923481,-0.397371482544372
CV-18,CV-18,7,39.90743609888871,-0.072980044752099
AP-7,E-15,449,39.85756955063389,-0.12357778574264434
AP-7,E-15,431,39.99801388215564,-0.07348200357735475
CV-310,CV-310,7,39.58368336035043,-0.4324584164453037
CV-145,CV-145,3,40.22752719623932,0.08297901206543457
CV-10,CV-10,25,40.05306245056231,-0.04963551227935434
CV-205,CV-205,2,39.95154909696001,-0.3267929042558003
N-III,N-III,275,39.487466960291904,-1.1112036710632236
N-III,N-III,248,39.54355859173219,-1.3716724148765724
CV-320,CV-320,0,39.72255503177112,-0.24725816474028836
CV-10,CV-10,28,40.0740140528867,-0.027695524815778964
CV-370,CV-370,3,39.50738976127946,-0.5070145817510573
V-23,V-23,9,39.657713412152184,-0.23826529305551364
CV-132,CV-132,5,40.50638181365626,0.16994537461858636
CV-410,CV-410,3,39.462120285701474,-0.4760215195485172
CV-197,CV-197,5,40.18477551479294,-0.4569343682920106
A-23,A-23,2,39.6732264208383,-0.29720647776846965
CV-10,CV-10,19,40.01449249482713,-0.09259561976740215
CV-176,CV-176,0,40.136062174298054,-0.38886998153120383
CV-10,CV-10,15,39.99109334620908,-0.12145930355593464
CV-10,CV-10,16,39.99918385232136,-0.11781795888206033
CV-215,CV-215,12,39.9063382566672,-0.452331604445907
CV-350,CV-350,14,39.973996241335136,-1.0618662524064235
CV-129,CV-129,4,40.35141386061587,0.09367250931644362
CV-413,LLANO DE QUART,0,39.454850436247874,-0.47493118877910034
CV-215,CV-215,7,39.9099671185785,-0.4071191590444666
CV-223,CV-223,0,39.894266476984164,-0.19918503790206193
AP-7,E-15,346,40.563566140701745,0.4298582467303023
A-7,E-15,285,39.8076924217862,-0.21951576140221837
CV-141,CV-141,0,40.39377893104137,0.35804985212180374
CV-300,DE LLÍRIA,10,39.538598173261775,-0.3462175076939775
A-7,E-15,277,39.862230832697676,-0.16906581517479063
CV-35,CV-35,37,39.68151742419354,-0.6915316990461472
CV-13,CV-13,0,40.18736339296102,0.04546295942311499
AP-7,E-15,440,39.93695737354153,-0.1337585545219198
CV-35,CV-35,18,39.58686119462551,-0.5377243722642747
CV-11,CV-11,0,40.52451415776406,0.29468912742931086
V-23,V-23,8,39.65943354232982,-0.2495802344799512
AP-7,E-15,345,40.5711043837095,0.4364036269385964
CV-35,CV-35,24,39.62381979436144,-0.5814113088657071
AP-7,E-15,350,40.52931150939582,0.4182994031324768
CV-125,CV-125,2,40.60685816897096,-0.1378732917187337
V-23,V-23,3,39.65008410377107,-0.28402535440879095
CV-10,CV-10,0,39.88048895426727,-0.19300140580227396
CV-312,CV-312,0,39.48543559815289,-0.33139772892154956
CV-421,CV-421,1,39.399824177809805,-0.7178579311469667
CS-22,CS-22,0,39.97056540095347,-0.08250667206448133
AP-7,E-15,464,39.74553608758877,-0.2154276551131881
AP-7,E-15,361,40.437480891965365,0.38941984855511563
CV-11,CV-11,17,40.56790816431711,0.4058939564929575
CV-35,CV-35,20,39.60323105400034,-0.5459782014761378
N-III,N-III,250,39.54688006747288,-1.3482954806467384
CV-20,CV-20,6,39.954679551943244,-0.19798914363653478
N-340,N-340,932,39.66963567940005,-0.27745971278244214
N-232,N-232,49,40.57187587411603,-0.03862019592063338
CV-215,CV-215,8,39.9094002795362,-0.4175703150984543
CV-10,CV-10,11,39.96867412153567,-0.1552503769062773
V-23,V-23,6,39.66280202910997,-0.2722403237561093
CV-363,CV-363,26,40.05995074340197,-1.1947141136050832
CV-215,CV-215,9,39.912848260449195,-0.4266353778948204
CV-213,CV-213,7,39.916130992892114,-0.5177555554041577
